Dependent,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Stars,Lines of Code,Commits
ComplexContainerComprehension,0.0278896359580862,-0.129608714878021,-0.0383349410090535,-0.260224313658314,-0.0609923364131861,0.274465513859338,0.0,0.167839467925802,0.0663551384822939,-0.0351291909612144
ComplexLambdaExpression,0.0139448179790431,-0.129608714878021,-0.0383349410090535,-0.248658788606833,-0.0304961682065931,0.274465513859338,0.0,0.183452441686342,0.0507421647217542,-0.0351291909612144
LargeClass,0.0278896359580862,-0.129608714878021,-0.0383349410090535,-0.260224313658314,-0.0609923364131861,0.274465513859338,0.0,0.167839467925802,0.0663551384822939,-0.0351291909612144
LongBaseClassList,0.0139448179790431,-0.0991125466714275,-0.0383349410090535,-0.271789838709795,-0.0914885046197792,0.274465513859338,0.0229816751108897,0.183452441686342,0.0819681122428337,-0.0195162172006747
LongMessageChain,0.0278896359580862,-0.129608714878021,-0.0383349410090535,-0.260224313658314,-0.0609923364131861,0.274465513859338,0.0,0.167839467925802,0.0663551384822939,-0.0351291909612144
LongMethod,0.0139448179790431,-0.129608714878021,-0.0383349410090535,-0.248658788606833,-0.0304961682065931,0.274465513859338,0.0,0.183452441686342,0.0507421647217542,-0.0351291909612144
LongParameterList,0.0139448179790431,-0.129608714878021,-0.0383349410090535,-0.248658788606833,-0.0304961682065931,0.274465513859338,0.0,0.183452441686342,0.0507421647217542,-0.0351291909612144
LongScopeChaining,0.0278896359580862,-0.129608714878021,-0.0383349410090535,-0.260224313658314,-0.0609923364131861,0.274465513859338,0.0,0.167839467925802,0.0663551384822939,-0.0351291909612144
LongTernaryConditionalExpression,0.0210299891169834,-0.130307419212271,-0.0385415998703923,-0.255883157859579,-0.0459908538396252,0.275945123037751,0.0,0.176592840129579,0.0588642800431931,-0.0353185680259159
MultiplyNestedContainer,0.0278896359580862,-0.129608714878021,-0.0383349410090535,-0.260224313658314,-0.0609923364131861,0.274465513859338,0.0,0.167839467925802,0.0663551384822939,-0.0351291909612144
